Year,Total_Cost_B,Carbon_Revenue_B,Materials_Revenue_B,Ecosystem_Revenue_B,Total_Revenue_B,Annual_Profit_B,Cumulative_Profit_B,ROI_Percent,Annual_CDR_Gt,Cumulative_CDR_Gt
2025,1.9903794712426555,5.317201936732772,0.0,1.5951605810198317,6.912362517752603,4.921983046509948,4.921983046509948,247.28855199413223,0.10634403873465545,0.10634403873465545
2026,5.8824961099168975,10.699422850028625,2.5,3.2098268550085876,16.40924970503721,10.526753595120315,15.448736641630262,196.22734438134557,0.2139884570005725,0.32033249573522793
2027,9.99707313640229,16.67593586792364,5.0,5.002780760377092,26.678716628300734,16.68164349189844,32.1303801335287,179.80117818659724,0.3335187173584728,0.6538512130937008
2028,14.400620740030641,23.42441972587361,7.5,7.0273259177620835,37.95174564363569,23.55112490360505,55.68150503713375,172.54577234792342,0.4684883945174722,1.122339607611173
2029,19.174629936780747,31.16257370898935,10.0,9.348772112696805,50.511345821686156,31.33671588490541,87.01822092203916,169.14740394627114,0.623251474179787,1.74559108179096
2030,24.415313483698863,40.14742551751405,12.499999999999998,12.044227655254215,64.69165317276827,40.2763396890694,127.29456061110857,167.80081507977204,0.802948510350281,2.548539592141241
2031,30.23030738805818,50.6665195089957,15.0,15.19995585269871,80.8664753616944,50.63616797363622,177.93072858474477,167.71547855059308,1.013330390179914,3.561869982321155
2032,36.73049883081694,63.016085393330734,17.5,18.90482561799922,99.42091101132996,62.69041218051302,240.6211407652578,168.47704572533289,1.2603217078666147,4.822191690187769
2033,44.01521426253938,77.46146895153207,20.0,23.238440685459622,120.69990963699169,76.6846953744523,317.3058361397101,169.83072246950985,1.5492293790306415,6.37142106921841
2034,52.15016514794998,94.17821516512042,22.499999999999996,28.253464549536126,144.93167971465655,92.78151456670658,410.08735070641666,171.59421488795275,1.8835643033024083,8.254985372520819
2035,61.14040303951674,113.17981901078467,24.999999999999996,33.9539457032354,172.13376471402006,110.99336167450332,521.08071238092,173.62001230775206,2.2635963802156933,10.518581752736512
2036,70.90490221657106,134.2498242172011,27.5,40.274947265160336,202.02477148236144,131.11986926579038,652.2005816467104,175.7801411396808,2.684996484344022,13.203578237080535
2037,81.26335528488295,156.90654835161826,30.0,47.071964505485475,233.97851285710374,152.7151575722208,804.9157392189311,177.96241357257884,3.138130967032365,16.3417092041129
2038,91.94571428571429,180.42857142857142,32.5,54.128571428571426,267.0571428571428,175.11142857142852,980.0271677903596,180.0722536404335,3.6085714285714285,19.950280632684326
2039,102.62807328654564,203.9505945055246,35.0,61.185178351657385,300.135772857182,197.50769957063636,1177.534867360996,182.036022539062,4.079011890110492,24.02929252279482
2040,109.7722406405718,223.03589006851317,35.0,66.91076702055395,324.9466570890671,215.17441644849532,1392.7092838094914,184.06464481277396,4.460717801370263,28.490010324165084
2041,116.3224541033404,240.53446670350107,35.0,72.16034001105032,347.69480671455136,231.37235261121094,1624.0816364207024,186.04225714796908,4.810689334070021,33.300699658235104
2042,122.09840628062145,255.96464197773673,35.0,76.78939259332103,367.7540345710578,245.65562829043634,1869.7372647111388,187.9015375426841,5.119292839554735,38.419992497789835
2043,127.01907145174633,269.1099596198965,35.0,80.73298788596894,384.8429475058654,257.82387605411907,2127.5611407652577,189.60846265415393,5.3821991923979295,43.80219169018776
2044,131.08950116918308,279.9839146066693,35.0,83.99517438200078,398.9790889886701,267.889587819487,2395.450728584745,191.15117332244634,5.599678292133386,49.401869982321145
2045,134.37540689765612,288.76205191957575,35.0,86.62861557587273,410.3906674954485,276.01526059779235,2671.465989182537,192.53167461799308,5.775241038391515,55.17711102071266
2046,136.9761150877297,295.70971733962887,35.0,88.71291520188865,419.4226325415175,282.4465174537878,2953.912506636325,193.7598697527903,5.914194346792577,61.091305367505235
2047,139.0025129203621,301.123140576725,35.0,90.3369421730175,426.4600827497425,287.4575698293804,3241.370076465705,194.8495127343502,6.0224628115345,67.11376817903974
2048,140.5622364028265,305.2898659884121,35.0,91.58695979652363,431.8768257849357,291.3145893821092,3532.6846658478144,195.81563885622282,6.105797319768242,73.21956549880798
2049,141.75149829216915,308.4669212749335,35.0,92.54007638248005,436.00699765741354,294.2554993652444,3826.9401652130587,196.67305310807672,6.16933842549867,79.38890392430665
2050,142.65178960436882,310.87200572139994,35.0,93.26160171641999,439.13360743781993,296.48181783345115,4123.42198304651,197.43552671361167,6.217440114427999,85.60634403873465
